month,place,•½‹Ï,•W€•Î·,2020”N,•½‹Ï‚©‚ç‚Ì’´‰ß,•W€•Î·‚Æ‚Ì”ä,’´‰ß
1,‰Í“ì’¬,14.736842105263158,4.279695021106552,7.0,-7.7368421052631575,-1.8078022071915605,-16.29623214747626
2,‰Í“ì’¬,12.631578947368421,3.2181866238922243,15.0,2.3684210526315788,0.7359489456105874,-4.06795219515287
3,‰Í“ì’¬,14.736842105263158,4.356886060060658,12.0,-2.7368421052631575,-0.628164718456065,-11.450614225384474
4,‰Í“ì’¬,12.578947368421053,3.4045033815306747,16.0,3.421052631578947,1.004860987989629,-3.3879541314824024
5,‰Í“ì’¬,13.052631578947368,4.719624328394113,15.0,1.9473684210526319,0.41261089560389613,-7.491880235735593
6,‰Í“ì’¬,11.68421052631579,3.2154597317568303,15.0,3.3157894736842106,1.0312023008518796,-3.115129989829448
7,‰Í“ì’¬,9.368421052631579,3.402785236893603,11.0,1.6315789473684212,0.4794833742895531,-5.173991526418785
8,‰Í“ì’¬,13.31578947368421,3.7275644651843733,,,,
9,‰Í“ì’¬,11.052631578947368,3.865426298331952,,,,
10,‰Í“ì’¬,11.31578947368421,3.606362149481992,,,,
11,‰Í“ì’¬,13.263157894736842,4.066695426990622,,,,
12,‰Í“ì’¬,13.526315789473685,5.103032007788568,,,,
