month,place,ïΩãœ,ïWèÄïŒç∑,2020îN,ïΩãœÇ©ÇÁÇÃí¥âﬂ,ïWèÄïŒç∑Ç∆ÇÃî‰,í¥âﬂ,95%ãÊä‘è„å¿
1,ç‰és,889.5,86.64294547163087,898.0,8.5,0.09810377467814871,-164.78589094326162,1062.7858909432616
2,ç‰és,779.25,25.811818998280614,700.0,-79.25,-3.0702989202457616,-130.87363799656123,830.8736379965612
3,ç‰és,732.5,16.862186493255653,780.0,47.5,2.816953781112462,13.775627013488702,766.2243729865113
4,ç‰és,617.5,30.44667469527666,720.0,102.5,3.3665417003946683,41.60665060944666,678.3933493905533
5,ç‰és,706.0,61.062809194031246,669.0,-37.0,-0.6059334722454378,-159.12561838806255,828.1256183880625
6,ç‰és,623.25,22.47035083541569,649.0,25.75,1.145954515290221,-19.190701670831345,668.1907016708313
7,ç‰és,654.25,48.355454707819675,699.0,44.75,0.9254385109269456,-51.96090941563932,750.9609094156393
8,ç‰és,679.5,23.58671942711265,,,,,726.6734388542253
9,ç‰és,633.25,38.44801685392889,,,,,710.1460337078578
10,ç‰és,696.75,56.192377893566075,,,,,809.1347557871321
11,ç‰és,713.75,46.99202059924642,,,,,807.7340411984928
12,ç‰és,705.0,34.76588366008646,,,,,774.5317673201729
